City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
115,Broken Hill,AU,-31.95,141.4333,58.5,45,0,29.84,clear sky
116,Hofn,IS,64.2539,-15.2082,46.74,59,3,3.94,clear sky
117,Grand Gaube,MU,-20.0064,57.6608,73.38,65,82,11.99,broken clouds
118,Les Escoumins,CA,48.1111,-69.0236,49.46,97,100,10.25,overcast clouds
119,Saint George,US,37.1041,-113.5841,89.64,15,0,9.22,clear sky
120,Mahebourg,MU,-20.4081,57.7,73.26,88,75,14.97,broken clouds
121,Paciran,ID,-6.8767,112.3761,82.58,74,84,6.31,broken clouds
122,Khatanga,RU,71.9667,102.5,28.49,91,100,12.41,light snow
123,Bluff,NZ,-46.6,168.3333,50.81,67,100,14.34,light rain
124,Brae,GB,60.3964,-1.353,48.99,92,71,4.61,broken clouds
125,Amalapuram,IN,16.5833,82.0167,88.41,69,68,7.18,broken clouds
126,Sabang,ID,5.8933,95.3214,82.53,74,93,5.64,overcast clouds
127,Nchelenge,ZM,-9.3451,28.734,57.9,74,23,8.21,few clouds
128,Tomatlan,MX,19.9333,-105.25,74.71,76,2,4.0,clear sky
129,Torbay,CA,47.6666,-52.7314,42.76,83,78,5.99,broken clouds
130,Ulaangom,MN,49.9811,92.0667,63.19,34,100,4.59,overcast clouds
131,Warrington,GB,53.3925,-2.5802,52.79,79,0,10.36,clear sky
132,Saskylakh,RU,71.9167,114.0833,36.32,89,98,5.1,overcast clouds
133,Monywa,MM,22.1167,95.1333,88.29,55,86,13.76,overcast clouds
134,Lebu,CL,-37.6167,-73.65,52.97,98,100,5.91,light rain
135,Broome,US,42.2506,-75.833,52.18,77,4,1.01,clear sky
136,Bandarbeyla,SO,9.4942,50.8122,78.51,78,20,19.69,few clouds
137,Mataura,NZ,-46.1927,168.8643,50.49,73,100,4.0,light rain
138,Sistranda,NO,63.7256,8.834,46.36,69,57,22.48,broken clouds
139,Bathsheba,BB,13.2167,-59.5167,83.01,78,40,23.02,scattered clouds
140,Narsaq,GL,60.9167,-46.05,51.73,39,1,7.78,clear sky
141,Marawi,PH,7.9986,124.2928,77.13,81,87,2.24,overcast clouds
142,Zhaotong,CN,27.3167,103.7167,60.98,88,100,5.41,overcast clouds
143,Victoria,HK,22.2855,114.1577,87.33,79,99,15.99,overcast clouds
144,Aksu,CN,41.1231,80.2644,72.54,31,12,4.52,few clouds
145,Alexandria,EG,31.2156,29.9553,73.11,76,0,5.01,clear sky
146,Whitehorse,CA,60.7161,-135.0538,68.02,39,99,15.01,overcast clouds
147,Mumbwa,ZM,-14.9783,27.0619,48.47,87,6,4.05,clear sky
148,Devli,IN,25.75,75.3833,88.12,31,11,14.81,few clouds
149,Chongwe,ZM,-15.3292,28.682,49.69,92,14,3.47,few clouds
150,Aranos,NA,-24.1333,19.1167,49.73,47,0,9.57,clear sky
151,Marzuq,YE,14.4,46.4667,72.52,61,12,3.27,few clouds
152,Tiznit,MA,29.5833,-9.5,62.44,69,0,0.74,clear sky
153,Bethel,US,41.3712,-73.414,64.76,80,0,4.83,clear sky
154,Westport,US,41.1415,-73.3579,66.49,83,1,3.0,clear sky
155,Killin,US,33.6123,-91.7412,69.89,88,0,0.0,clear sky
156,Cidreira,BR,-30.1811,-50.2056,62.62,85,56,19.39,broken clouds
157,Havelock,US,34.8791,-76.9013,73.94,74,46,1.01,scattered clouds
158,Saint-Louis,SN,16.3333,-15.0,90.14,22,9,8.79,clear sky
159,Nanortalik,GL,60.1432,-45.2371,44.04,57,96,5.61,overcast clouds
160,Coracao De Jesus,BR,-16.6853,-44.365,69.03,65,100,9.89,overcast clouds
161,Luganville,VU,-15.5333,167.1667,83.12,64,0,12.5,clear sky
162,Hithadhoo,MV,-0.6,73.0833,83.5,69,100,6.46,overcast clouds
163,Sidi Ali,DZ,36.0998,0.4206,69.4,56,98,6.46,overcast clouds
164,Tigil,RU,57.8,158.6667,53.38,53,100,1.01,overcast clouds
165,Kamaishi,JP,39.2667,141.8833,58.62,73,46,6.82,scattered clouds
166,Caucaia,BR,-3.7361,-38.6531,76.95,83,0,4.61,clear sky
167,Comodoro Rivadavia,AR,-45.8667,-67.5,44.47,62,0,8.05,clear sky
168,Owo,NG,7.1962,5.5868,70.97,99,100,2.08,overcast clouds
169,Hay River,CA,60.8156,-115.7999,64.69,38,20,9.26,few clouds
170,Lata,PT,40.1629,-8.3327,54.34,97,3,1.32,clear sky
171,Faya,SA,18.3851,42.4509,64.08,25,20,4.61,few clouds
172,Pavlovsk,RU,50.4578,40.1081,54.36,89,82,6.49,broken clouds
173,Chodavaram,IN,17.8333,82.95,85.84,74,93,4.05,overcast clouds
174,Deniliquin,AU,-35.5333,144.9667,54.27,67,100,18.54,overcast clouds
175,Malpe,IN,13.35,74.7167,79.9,82,100,0.96,overcast clouds
176,Esperance,AU,-33.8667,121.9,53.44,69,100,17.36,overcast clouds
177,Vostok,RU,46.4856,135.8833,58.95,38,6,5.21,clear sky
178,Angoche,MZ,-16.2325,39.9086,70.92,86,91,10.09,overcast clouds
179,Haifa,IL,32.8156,34.9892,70.18,88,0,1.01,clear sky
180,Bambous Virieux,MU,-20.3428,57.7575,74.21,63,88,20.89,light rain
181,High Level,CA,58.5169,-117.136,68.7,38,100,5.35,overcast clouds
182,Show Low,US,34.2542,-110.0298,74.61,16,0,11.5,clear sky
183,Conde,BR,-7.2597,-34.9075,72.86,100,20,3.44,few clouds
184,Zabid,YE,14.1951,43.3152,84.49,58,25,2.59,scattered clouds
185,Gerede,TR,40.8008,32.1969,49.87,95,48,1.5,scattered clouds
186,Saint-Philippe,RE,-21.3585,55.7679,71.19,71,48,14.79,scattered clouds
187,Gazanjyk,TM,39.2446,55.5154,79.02,15,1,10.16,clear sky
188,Itarema,BR,-2.9248,-39.9167,75.7,86,97,5.64,overcast clouds
189,Port Elizabeth,ZA,-33.918,25.5701,59.31,86,100,6.91,overcast clouds
190,Naze,JP,28.3667,129.4833,74.32,92,89,13.98,light rain
191,Tommot,RU,58.9564,126.2925,77.45,32,17,2.98,few clouds
192,Chagoda,RU,59.164,35.3285,46.54,96,59,3.42,broken clouds
193,General Pico,AR,-35.6566,-63.7568,45.64,70,100,7.36,moderate rain
194,Bara,NG,10.3744,10.7288,75.67,66,100,4.76,overcast clouds
195,Santa Cruz Del Sur,CU,20.7147,-77.9956,81.25,80,100,13.8,overcast clouds
196,Patiya,BD,22.2931,91.9762,84.56,71,18,8.66,few clouds
197,Sobolevo,RU,54.4299,31.8996,48.6,93,77,4.94,broken clouds
198,Jalu,LY,29.0331,21.5482,76.39,39,0,9.84,clear sky
199,Axim,GH,4.8699,-2.2405,78.06,87,90,4.72,light rain
200,Pedernales,DO,18.0384,-71.744,80.47,78,99,4.56,overcast clouds
201,Fairbanks,US,64.8378,-147.7164,76.01,23,75,16.11,broken clouds
202,Kutum,SD,14.2,24.6667,75.16,21,9,0.31,clear sky
203,Sorong,ID,-0.8833,131.25,84.06,69,100,5.44,overcast clouds
204,Trapani,IT,37.8333,12.6667,79.27,41,6,2.44,clear sky
205,Cianorte,BR,-23.6633,-52.605,58.01,90,87,6.55,overcast clouds
206,Ghanzi,BW,-21.5667,21.7833,48.0,61,6,7.38,clear sky
207,Chuy,UY,-33.6971,-53.4616,53.62,88,11,8.9,few clouds
208,Port Blair,IN,11.6667,92.75,82.6,79,77,16.98,heavy intensity rain
209,Pemangkat,ID,1.1667,108.9667,83.05,74,13,3.38,few clouds
210,Iqaluit,CA,63.7506,-68.5145,38.14,68,13,5.79,few clouds
211,Sanary-Sur-Mer,FR,43.1178,5.8001,73.53,87,12,4.0,few clouds
212,Castro Daire,PT,40.8984,-7.9338,50.79,95,1,1.45,clear sky
213,Imeni Poliny Osipenko,RU,52.4201,136.4853,67.33,46,5,1.81,clear sky
214,Venado Tuerto,AR,-33.7456,-61.9688,45.77,65,92,7.63,overcast clouds
215,Mitsamiouli,KM,-11.3847,43.2844,78.13,74,23,15.3,few clouds
216,Albertville,US,34.2676,-86.2089,72.73,68,0,3.44,clear sky
217,Upernavik,GL,72.7868,-56.1549,29.19,82,2,9.6,clear sky
218,Samarai,PG,-10.6167,150.6667,83.34,75,83,13.94,broken clouds
219,Iquitos,PE,-3.7481,-73.2472,77.04,94,75,3.44,broken clouds
220,Shush,IR,32.1942,48.2436,92.8,11,9,8.72,clear sky
221,Poum,NC,-20.2333,164.0167,76.03,72,4,3.8,clear sky
222,Hambantota,LK,6.1241,81.1185,79.14,100,20,9.22,few clouds
223,Mayumba,GA,-3.432,10.6554,72.82,95,100,3.4,overcast clouds
224,Severo-Kurilsk,RU,50.6789,156.125,46.89,81,55,6.2,broken clouds
225,Tuatapere,NZ,-46.1333,167.6833,48.38,86,100,6.76,overcast clouds
226,Roebourne,AU,-20.7833,117.1333,72.63,46,0,16.67,clear sky
227,Jacareacanga,BR,-6.2222,-57.7528,75.51,77,53,0.31,broken clouds
228,Bumba,CD,2.1833,22.4667,69.75,94,87,2.55,overcast clouds
229,Tazmalt,DZ,36.3868,4.3989,75.79,38,100,3.87,overcast clouds
230,San Jeronimo,PE,-11.9472,-75.2829,49.98,83,100,2.84,overcast clouds
231,Alugan,PH,12.2188,125.4808,81.99,79,100,2.66,heavy intensity rain
232,Carutapera,BR,-1.195,-46.02,74.98,94,100,4.09,moderate rain
233,Saint-Joseph,RE,-21.3667,55.6167,70.18,71,22,15.84,few clouds
234,Mahanoro,MG,-19.9,48.8,68.92,88,86,2.21,light rain
235,Uvarovo,RU,51.9849,42.2615,52.59,90,93,6.13,overcast clouds
236,Rundu,NA,-17.9333,19.7667,47.75,62,16,6.46,few clouds
237,Iralaya,HN,15.0,-83.2333,78.62,86,100,1.72,overcast clouds
238,Alekseyevsk,RU,57.8406,108.3492,70.3,37,46,4.61,scattered clouds
239,Gander,CA,48.9682,-54.5906,39.33,100,100,11.5,light intensity drizzle
240,Butaritari,KI,3.0707,172.7902,81.05,72,52,10.76,broken clouds
241,Maldonado,UY,-34.6667,-54.9167,50.23,93,9,6.13,clear sky
242,Olafsvik,IS,64.8945,-23.7142,44.15,69,26,9.78,scattered clouds
243,Lompoc,US,34.6391,-120.4579,71.74,68,0,24.0,clear sky
244,Thompson,CA,55.7435,-97.8558,44.1,71,99,5.59,overcast clouds
245,Kloulklubed,PW,7.0419,134.2556,82.9,70,6,5.5,clear sky
246,Omboue,GA,-1.5746,9.2618,74.21,92,100,3.56,overcast clouds
247,Camacha,PT,33.0833,-16.3333,62.02,82,40,9.22,scattered clouds
248,Cacule,BR,-14.5033,-42.2222,68.09,80,76,7.27,broken clouds
249,Altay,CN,47.8667,88.1167,61.99,44,8,5.1,clear sky
250,Fene,ES,43.45,-8.15,56.91,96,75,4.0,broken clouds
251,Rocha,UY,-34.4833,-54.3333,47.03,95,8,5.53,clear sky
252,Umm Kaddadah,SD,13.6017,26.6876,80.24,48,100,7.07,overcast clouds
253,Tucuman,AR,-26.8241,-65.2226,42.8,93,80,4.61,broken clouds
254,Brownwood,US,31.7093,-98.9912,82.4,55,0,9.22,clear sky
255,Pecos,US,31.4229,-103.4932,95.31,10,0,0.0,clear sky
256,Cairns,AU,-16.9167,145.7667,85.06,70,75,8.05,broken clouds
257,Bukachacha,RU,52.9833,116.9167,63.72,44,100,10.8,overcast clouds
258,Uyo,NG,5.0333,7.9266,73.13,98,100,1.86,light rain
259,Kroya,ID,-7.6331,109.2461,79.7,81,100,1.23,overcast clouds
260,Secovce,SK,48.7007,21.661,64.15,94,67,7.0,broken clouds
261,Lewistown,US,40.5992,-77.5714,66.94,65,0,3.02,clear sky
262,Haapiti,PF,-17.5667,-149.8667,82.13,72,12,9.42,light rain
263,Fortaleza,BR,-3.7227,-38.5247,77.13,94,0,4.61,clear sky
264,Tortoli,IT,39.9256,9.6572,78.51,43,4,5.91,clear sky
265,Mar Del Plata,AR,-38.0023,-57.5575,52.09,87,0,0.0,clear sky
266,Xuchang,CN,34.0167,113.8167,88.38,37,61,5.17,broken clouds
267,Buraydah,SA,26.326,43.975,85.24,8,0,5.21,clear sky
268,Dargaville,NZ,-35.9333,173.8833,63.75,64,100,8.08,overcast clouds
269,Pacifica,US,37.6138,-122.4869,71.67,58,100,12.66,overcast clouds
270,Moose Factory,CA,51.2585,-80.6094,49.24,95,100,7.94,overcast clouds
271,Rancho Palos Verdes,US,33.7445,-118.387,71.08,86,75,10.36,broken clouds
272,Mount Pleasant,US,32.7941,-79.8626,75.0,89,0,8.05,clear sky
273,Netolice,CZ,49.0493,14.197,61.03,97,83,1.16,broken clouds
274,Aklavik,CA,68.2191,-135.0107,38.34,56,100,7.99,overcast clouds
275,Sale,MA,34.0389,-6.8166,67.75,100,40,0.0,scattered clouds
276,Vasilyevo,RU,55.836,48.6582,57.67,84,35,2.3,scattered clouds
277,Mangrol,IN,21.1167,70.1167,81.73,78,59,7.7,broken clouds
278,Atbasar,KZ,51.8,68.3333,49.84,56,92,4.61,overcast clouds
279,Voyvozh,RU,62.892,54.9635,49.77,54,0,9.15,clear sky
280,Ponta Do Sol,PT,32.6667,-17.1,66.83,77,12,4.18,few clouds
281,Port Keats,AU,-14.25,129.55,90.27,44,71,2.8,broken clouds
282,Alekseyevskaya,RU,50.2896,42.1845,58.8,91,35,6.89,scattered clouds
283,Nikolskoye,RU,59.7035,30.7861,50.81,98,30,4.16,scattered clouds
284,Manjeshwar,IN,12.7194,74.8861,79.75,82,100,3.51,overcast clouds
285,Ugoofaaru,MV,5.6667,73.0,82.78,78,44,17.47,scattered clouds
286,Bahia Honda,CU,22.9036,-83.1592,77.95,89,12,8.46,few clouds
287,Peleduy,RU,59.6289,112.7406,69.04,48,100,2.28,overcast clouds
