City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
588,Ambunti,PG,79.7,overcast clouds,-4.2365,142.8448,AMBUNTI HIDE INN
590,Sinnamary,GF,77.45,light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
591,Kuching,MY,79.02,scattered clouds,1.55,110.3333,Hilton Kuching
598,Nizhniy Kuranakh,RU,77.0,clear sky,58.8353,125.4869,Park Pobedy
601,Harper,LR,77.41,overcast clouds,4.375,-7.7169,Screensaver
604,Porto Novo,BJ,77.79,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
605,Ixtapa,MX,78.22,overcast clouds,20.7,-105.2,hotel la terminal
610,La Palma,US,75.81,broken clouds,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
611,Tautira,PF,78.85,moderate rain,-17.7333,-149.15,Pension Oaoa
613,Lahat,ID,81.03,broken clouds,-3.8,103.5333,Hotel Grand Zuri Lahat by ZHM
614,Dalbandin,PK,79.84,clear sky,28.8947,64.4101,Sanjrani House
622,Bac Ninh,VN,87.89,overcast clouds,21.1833,106.05,Nhà Nghỉ Xuân Hòa
623,Panzhihua,CN,81.84,overcast clouds,26.5851,101.7128,Electric Power Hotel
627,Bocana De Paiwas,NI,77.56,overcast clouds,12.7857,-85.1227,Guapinol Cabaña Monge
629,Conkal,MX,81.05,broken clouds,21.0667,-89.5333,Casa Mango
631,Seybaplaya,MX,80.06,few clouds,19.65,-90.6667,sala de fiesta san Rafael
636,Mount Isa,AU,80.37,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
638,Rio Grande City,US,86.11,clear sky,26.3798,-98.8203,La Borde House
641,Ciudad Bolivar,VE,79.16,overcast clouds,8.1222,-63.5497,Hotel Edi
642,Kampong Thum,KH,85.17,scattered clouds,12.7111,104.8887,Sambor Village Hotel
646,Natal,BR,75.85,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
