City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
134,Jaru,BR,-10.4389,-62.4664,75.61,78,79,2.53
135,Najran,SA,17.4924,44.1277,79.45,24,37,7.65
136,Alice Springs,AU,-23.7,133.8833,69.22,32,0,6.91
137,Nizhniy Kuranakh,RU,58.8353,125.4869,69.3,42,55,9.26
138,Cochrane,CA,51.1834,-114.4687,60.04,49,100,8.05
139,Arraial Do Cabo,BR,-22.9661,-42.0278,69.3,79,89,16.15
140,Sal Rei,CV,16.1833,-22.9167,72.05,84,17,20.96
141,Kuldur,RU,49.2167,131.6333,58.6,50,93,8.48
142,Yeppoon,AU,-23.1333,150.7333,76.78,74,62,0.67
143,Puri,IN,19.8,85.85,90.12,79,94,17.74
144,Xihua,CN,33.7833,114.5167,92.01,46,98,6.89
145,Harlingen,US,26.1906,-97.6961,79.9,93,4,7.16
146,Clyde River,CA,70.4692,-68.5914,30.43,100,100,8.05
147,Sorong,ID,-0.8833,131.25,83.19,76,40,4.27
148,Pringsewu,ID,-5.3582,104.9744,86.58,62,100,3.49
149,Husavik,IS,66.0449,-17.3389,40.64,79,80,13.94
150,Aklavik,CA,68.2191,-135.0107,34.95,69,79,14.16
151,Aksu,CN,41.1231,80.2644,77.45,27,90,11.48
152,Tsiroanomandidy,MG,-18.7667,46.0333,62.15,66,0,4.03
153,Shiraz,IR,29.6036,52.5388,78.24,19,0,0.0
154,Vaitape,PF,-16.5167,-151.75,81.1,68,92,18.75
155,Comodoro Rivadavia,AR,-45.8667,-67.5,35.46,64,0,3.44
156,Ahipara,NZ,-35.1667,173.1667,58.68,69,56,3.42
157,Guarapari,BR,-20.6667,-40.4975,68.9,91,96,14.43
158,Bengkulu,ID,-3.8004,102.2655,84.78,60,27,5.57
159,Mahebourg,MU,-20.4081,57.7,73.69,78,75,16.11
160,Port Blair,IN,11.6667,92.75,83.95,75,100,12.95
161,Cayenne,GF,4.9333,-52.3333,80.1,1,75,5.01
162,Pandan,PH,14.0453,124.1694,88.32,63,62,5.64
163,Avera,US,33.194,-82.5271,70.56,96,98,8.21
164,Kununurra,AU,-15.7667,128.7333,91.38,46,55,9.22
165,Sistranda,NO,63.7256,8.834,46.36,81,100,18.48
166,Beringovskiy,RU,63.05,179.3167,39.29,81,53,6.58
167,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,70.25,41,49,2.8
168,Puerto Ayora,EC,-0.7393,-90.3518,71.55,95,98,3.0
169,Souillac,MU,-20.5167,57.5167,73.78,78,75,16.11
170,Georgetown,MY,5.4112,100.3354,80.53,82,20,3.44
171,Dali,CN,25.7,100.1833,74.5,60,59,7.72
172,Cidreira,BR,-30.1811,-50.2056,59.29,65,94,12.48
173,Kushima,JP,31.4583,131.2333,78.84,59,61,9.19
174,Cockburn Town,TC,21.4612,-71.1419,79.95,85,87,18.21
175,Itarema,BR,-2.9248,-39.9167,75.33,90,54,5.79
176,Mayor Pablo Lagerenza,PY,-19.9309,-60.7718,60.31,68,98,3.27
177,Tigil,RU,57.8,158.6667,56.84,43,49,10.25
178,Nikolskoye,RU,59.7035,30.7861,53.71,93,68,6.85
179,Blantyre,MW,-15.785,35.0085,54.95,88,58,3.89
180,Pisco,PE,-13.7,-76.2167,61.02,94,100,3.44
181,Dickinson,US,29.4608,-95.0513,82.49,78,20,1.01
182,Warmbad,NA,-28.45,18.7333,53.91,32,7,4.34
183,Winnemucca,US,40.973,-117.7357,71.65,23,0,13.8
184,Hammerfest,NO,70.6634,23.6821,48.65,100,75,5.75
185,Quatre Cocos,MU,-20.2078,57.7625,73.51,68,71,22.44
186,Oranjestad,AW,12.524,-70.027,82.35,78,20,19.57
187,Javanrud,IR,34.7961,46.5172,80.06,24,96,4.16
188,Lokosovo,RU,61.1333,74.8167,34.93,93,100,15.66
189,Seoul,KR,37.5683,126.9778,83.59,51,75,9.22
190,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,71.55,99,99,1.45
191,Noumea,NC,-22.2763,166.4572,79.0,99,41,7.49
192,Moose Factory,CA,51.2585,-80.6094,53.6,71,100,6.91
193,Qaanaaq,GL,77.484,-69.3632,22.78,85,98,6.33
194,Khuzdar,PK,27.7384,66.6434,88.83,6,0,3.24
195,Sembabule,UG,-0.0772,31.4567,62.92,78,15,3.83
196,Chuy,UY,-33.6971,-53.4616,48.47,83,25,6.8
197,Uruzgan,AF,32.8333,66.0,76.5,13,0,5.41
198,Iquique,CL,-20.2208,-70.1431,57.24,76,70,2.62
199,Kahului,US,20.8947,-156.47,80.62,68,40,16.11
200,Sunderland,GB,54.9047,-1.3822,52.18,79,86,1.99
